region,date,value
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2014-12-31,897400
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2012-12-31,715400
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2009-12-31,336300
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2008-12-31,316900
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2007-12-31,262800
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2010-12-31,429000
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2016-12-31,1062700
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2017-12-31,1210000
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2018-12-31,1366400
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2019-12-31,1518800
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2021-12-31,1976900
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2020-12-31,1675800
МАНГИСТАУСКАЯ ОБЛАСТЬ,2006-12-31,1552900
МАНГИСТАУСКАЯ ОБЛАСТЬ,2002-12-31,599300
МАНГИСТАУСКАЯ ОБЛАСТЬ,2003-12-31,633400
МАНГИСТАУСКАЯ ОБЛАСТЬ,2005-12-31,1174200
МАНГИСТАУСКАЯ ОБЛАСТЬ,2011-12-31,3491700
МАНГИСТАУСКАЯ ОБЛАСТЬ,2001-12-31,455000
МАНГИСТАУСКАЯ ОБЛАСТЬ,2013-12-31,3592700
МАНГИСТАУСКАЯ ОБЛАСТЬ,2004-12-31,831600
МАНГИСТАУСКАЯ ОБЛАСТЬ,2000-12-31,407900
МАНГИСТАУСКАЯ ОБЛАСТЬ,2015-12-31,3443000
МАНГИСТАУСКАЯ ОБЛАСТЬ,2014-12-31,4049600
МАНГИСТАУСКАЯ ОБЛАСТЬ,2012-12-31,3169800
МАНГИСТАУСКАЯ ОБЛАСТЬ,2009-12-31,2542500
МАНГИСТАУСКАЯ ОБЛАСТЬ,2008-12-31,2631000
МАНГИСТАУСКАЯ ОБЛАСТЬ,2007-12-31,1896200
МАНГИСТАУСКАЯ ОБЛАСТЬ,2010-12-31,2890400
МАНГИСТАУСКАЯ ОБЛАСТЬ,2016-12-31,3880600
МАНГИСТАУСКАЯ ОБЛАСТЬ,2017-12-31,5058800
МАНГИСТАУСКАЯ ОБЛАСТЬ,2018-12-31,5682400
МАНГИСТАУСКАЯ ОБЛАСТЬ,2019-12-31,5352800
МАНГИСТАУСКАЯ ОБЛАСТЬ,2021-12-31,4966500
МАНГИСТАУСКАЯ ОБЛАСТЬ,2020-12-31,4335100
АТЫРАУСКАЯ ОБЛАСТЬ,2003-12-31,1065000
АТЫРАУСКАЯ ОБЛАСТЬ,2015-12-31,7171200
АТЫРАУСКАЯ ОБЛАСТЬ,2002-12-31,866000
АТЫРАУСКАЯ ОБЛАСТЬ,2011-12-31,7054000
АТЫРАУСКАЯ ОБЛАСТЬ,2001-12-31,658400
АТЫРАУСКАЯ ОБЛАСТЬ,2004-12-31,1389500
АТЫРАУСКАЯ ОБЛАСТЬ,2006-12-31,2296200
АТЫРАУСКАЯ ОБЛАСТЬ,2013-12-31,7083000
АТЫРАУСКАЯ ОБЛАСТЬ,2005-12-31,1727300
АТЫРАУСКАЯ ОБЛАСТЬ,2000-12-31,554500
АТЫРАУСКАЯ ОБЛАСТЬ,2014-12-31,7553300
АТЫРАУСКАЯ ОБЛАСТЬ,2012-12-31,6580700
АТЫРАУСКАЯ ОБЛАСТЬ,2009-12-31,3881600
АТЫРАУСКАЯ ОБЛАСТЬ,2008-12-31,3626000
АТЫРАУСКАЯ ОБЛАСТЬ,2007-12-31,2541700
АТЫРАУСКАЯ ОБЛАСТЬ,2010-12-31,5401000
АТЫРАУСКАЯ ОБЛАСТЬ,2016-12-31,8653100
АТЫРАУСКАЯ ОБЛАСТЬ,2017-12-31,9685100
АТЫРАУСКАЯ ОБЛАСТЬ,2018-12-31,12465400
АТЫРАУСКАЯ ОБЛАСТЬ,2019-12-31,14584400
АТЫРАУСКАЯ ОБЛАСТЬ,2021-12-31,16037400
АТЫРАУСКАЯ ОБЛАСТЬ,2020-12-31,11883200
Г.АСТАНА,2006-12-31,1701800
Г.АСТАНА,2002-12-31,463800
Г.АСТАНА,2003-12-31,596800
Г.АСТАНА,2005-12-31,1318000
Г.АСТАНА,2011-12-31,2980300
Г.АСТАНА,2001-12-31,438100
Г.АСТАНА,2013-12-31,4374300
Г.АСТАНА,2004-12-31,901700
Г.АСТАНА,2000-12-31,328600
Г.АСТАНА,2015-12-31,5574800
Г.АСТАНА,2014-12-31,4821600
Г.АСТАНА,2012-12-31,3479600
Г.АСТАНА,2009-12-31,2075200
Г.АСТАНА,2008-12-31,2080200
Г.АСТАНА,2007-12-31,1927000
Г.АСТАНА,2010-12-31,2635700
Г.АСТАНА,2016-12-31,5273300
Г.АСТАНА,2017-12-31,5766200
Г.АСТАНА,2018-12-31,6359600
Г.АСТАНА,2019-12-31,7075800
Г.АСТАНА,2021-12-31,7361900
Г.АСТАНА,2020-12-31,6873600
Г.АЛМАТЫ,2013-12-31,4779100
Г.АЛМАТЫ,2004-12-31,924400
Г.АЛМАТЫ,2006-12-31,1792900
Г.АЛМАТЫ,2001-12-31,504900
Г.АЛМАТЫ,2002-12-31,603300
Г.АЛМАТЫ,2003-12-31,695800
Г.АЛМАТЫ,2015-12-31,5439600
Г.АЛМАТЫ,2005-12-31,1218600
Г.АЛМАТЫ,2011-12-31,3394800
Г.АЛМАТЫ,2000-12-31,367500
Г.АЛМАТЫ,2014-12-31,5021000
Г.АЛМАТЫ,2012-12-31,3908000
Г.АЛМАТЫ,2009-12-31,2293100
Г.АЛМАТЫ,2008-12-31,2193200
Г.АЛМАТЫ,2007-12-31,2048900
Г.АЛМАТЫ,2010-12-31,2797300
Г.АЛМАТЫ,2016-12-31,6138500
Г.АЛМАТЫ,2017-12-31,6694200
Г.АЛМАТЫ,2018-12-31,6636100
Г.АЛМАТЫ,2019-12-31,7183900
Г.АЛМАТЫ,2021-12-31,7495800
Г.АЛМАТЫ,2020-12-31,6913000
РЕСПУБЛИКА КАЗАХСТАН,2003-12-31,309300
РЕСПУБЛИКА КАЗАХСТАН,2015-12-31,2330400
РЕСПУБЛИКА КАЗАХСТАН,2000-12-31,174700
РЕСПУБЛИКА КАЗАХСТАН,2011-12-31,1705900
РЕСПУБЛИКА КАЗАХСТАН,2005-12-31,501100
РЕСПУБЛИКА КАЗАХСТАН,2006-12-31,667200
РЕСПУБЛИКА КАЗАХСТАН,2013-12-31,2113200
РЕСПУБЛИКА КАЗАХСТАН,2001-12-31,218800
РЕСПУБЛИКА КАЗАХСТАН,2002-12-31,254100
РЕСПУБЛИКА КАЗАХСТАН,2004-12-31,391000
РЕСПУБЛИКА КАЗАХСТАН,2014-12-31,2294800
РЕСПУБЛИКА КАЗАХСТАН,2012-12-31,1847084
РЕСПУБЛИКА КАЗАХСТАН,2009-12-31,1056900
РЕСПУБЛИКА КАЗАХСТАН,2008-12-31,1024200
РЕСПУБЛИКА КАЗАХСТАН,2007-12-31,829900
РЕСПУБЛИКА КАЗАХСТАН,2010-12-31,1336600
РЕСПУБЛИКА КАЗАХСТАН,2016-12-31,2639700
РЕСПУБЛИКА КАЗАХСТАН,2017-12-31,3014700
